Sample,Material,Segment Name,Lat,Lon,SiO2,TiO2,FeOt,MgO,Al2O3,CaO,Na2O,K2O,MnO,Elevation,Reference,Method
PIS1979-053-001GL,Glass, AFAR29,17.9419,40.084,51.75,1.09,11.07,6.91,14.15,12.08,2.16,0.13,0.09,-1600,"  EISSEN, 1989", EMP
PIS1979-053-002GL,Glass, AFAR29,17.9419,40.084,51.71,1.05,10.94,7.21,14.22,11.79,2.2,0.13,0.17,-1600,"  EISSEN, 1989", EMP
PIS1979-053-003GL,Glass, AFAR29,17.9419,40.084,51.95,1.16,11.01,6.76,14.18,11.59,2.22,0.18,0.28,-1600,"  EISSEN, 1989", EMP
PIS1979-053-004GL,Glass, AFAR29,17.944,40.0842,51.68,1,10.78,7.11,13.98,11.33,2.11,0.5,0.15,-1530,"  EISSEN, 1989", EMP
PIS1979-057-001GL,Glass, AFAR29,17.9684,40.0675,51.09,0.75,9.11,8.53,14.49,13.58,1.91,0.02,0.17,-1310,"  EISSEN, 1989", EMP
PIS1979-059-002GL,Glass, AFAR29,17.973,40.0642,51.61,0.77,9.46,8.09,14.53,12.52,2.23,0.04,0.36,-1470,"  EISSEN, 1989", EMP
PIS1979-059-003GL,Glass, AFAR29,17.973,40.0642,51.25,0.77,10.03,8.2,14.45,12.78,1.95,0.02,0.2,-1470,"  EISSEN, 1989", EMP
PIS1979-061-001GL,Glass, AFAR29,17.9797,40.0918,52.1,1.11,10.96,7.02,14.05,11.4,2.17,0.19,0.3,-1510,"  EISSEN, 1989", EMP
PIS1979-062-001GL,Glass, AFAR29,17.9302,40.0892,51.95,1.02,10.25,7.61,14.3,11.91,1.83,0.18,0.28,-1500,"  EISSEN, 1989", EMP
PIS1979-062-002GL,Glass, AFAR29,17.9302,40.0892,52.14,0.96,11.23,7.18,14.39,11.45,2.09,0.07,0.06,-1500,"  EISSEN, 1989", EMP
