SampleID,Material,Segment,Reference,Method,Lat,Lon,Ba,Be,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Li,Lu,Nb,Nd,Ni,Pb,Pr,Rb,Sm,Sn,Sr,Tb,Th,U,V,W,Y,Yb,Zn,Zr,Mean Depth,Sp Rate,Seg Length,Min-Max Depth
KLM0417-015-001, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.166,-176.596,66.1,0.38,8.36,40.4,4,0.12,81,4.59,2.92,1,17.8,3.84,1.68,1.01,2.99,6.4,0.46,0.83,7.61,16,0.84,1.44,5.69,2.59,0.59,142,0.68,0.257,0.107,410,0.06,28.5,2.95,92.2,56.3,-2063.88,54.5,78.6927,630.948
KLM0417-017-001, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.03,-176.577,68.5,0.41,8.2,36,20,0.126,91,4.23,2.67,0.92,14.8,3.57,1.56,0.92,2.94,6,0.42,0.7,7.37,31,0.86,1.37,5.46,2.46,0.55,151,0.64,0.26,0.11,332,0.07,26.3,2.68,80.5,52.3,-2063.88,54.5,78.6927,630.948
KLM0417-018-001, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.15,-176.607,138.2,0.74,16.86,16,3,0.258,30,7.48,4.77,1.59,18.5,6.61,3.12,1.66,6.21,10.1,0.73,1.52,14.92,2,1.68,2.84,10.23,4.75,1.01,174,1.15,0.556,0.245,59,0.12,47.4,4.82,102.6,107.3,-2063.88,54.5,78.6927,630.948
KLM0417-021-004, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.17,-176.571,89.8,0.55,11.12,32.7,6,0.164,88,5.35,3.38,1.16,18.1,4.58,2.12,1.18,4.08,7.2,0.53,1.01,9.82,13,1.16,1.86,7.32,3.24,0.76,163,0.8,0.358,0.157,401,0.08,33.4,3.43,95,71.6,-2063.88,54.5,78.6927,630.948
KLM0417-022-001, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.135,-176.598,74.1,0.36,6.84,35.3,22,0.14,140,3.2,2.05,0.77,16.1,2.66,1.11,0.71,2.54,3,0.32,0.51,5.96,26,0.94,1.12,4.34,1.96,0.43,164,0.48,0.259,0.12,320,0.03,20.2,2.04,70.6,35.6,-2063.88,54.5,78.6927,630.948
KLM0417-023-001, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.756,-176.393,47.3,0.22,4.65,36.1,165,0.095,86,2.55,1.64,0.59,13.5,2.05,0.81,0.57,1.66,3.7,0.26,0.36,4.18,63,0.68,0.77,3.74,1.43,0.3,133,0.38,0.142,0.065,269,0.03,16.4,1.64,62.4,26.4,-2063.88,54.5,78.6927,630.948
KLM0417-023-005, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.756,-176.393,52.3,0.26,5.67,37.4,210,0.102,106,2.62,1.63,0.62,14.2,2.23,0.88,0.57,2.06,4.1,0.26,0.4,4.84,73,0.76,0.94,4.85,1.55,0.34,141,0.39,0.183,0.083,259,0.05,16.1,1.65,59.1,29.6,-2063.88,54.5,78.6927,630.948
KLM0417-026-001, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.157,-176.606,107.7,0.85,17.14,14.9,2,0.198,22,8.3,5.23,1.63,18.5,7.08,3.61,1.85,5.72,11.1,0.84,1.86,14.57,2,1.54,2.72,4.34,4.78,1.26,148,1.25,0.816,0.225,100,0.11,58.3,5.45,105.1,130.9,-2063.88,54.5,78.6927,630.948
KLM0417-027-002, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.123,-176.541,84.2,0.24,5.36,39.1,81,0.146,133,2.18,1.36,0.55,14.2,1.86,0.66,0.48,2.25,4,0.22,0.33,4.23,39,1,0.84,4.87,1.36,0.26,176,0.33,0.284,0.113,311,0.04,13,1.44,69,19.7,-2063.88,54.5,78.6927,630.948
KLM0417-028-001, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.783,-176.472,88.4,0.61,13.45,29.6,6,0.17,50,6.3,4.03,1.37,17.7,5.51,2.61,1.39,4.78,8.4,0.63,1.35,12,9,1.15,2.26,7.9,3.91,1.12,155,0.96,0.396,0.159,304,0.16,39.7,4.07,101.3,92.6,-2063.88,54.5,78.6927,630.948
KLM0417-029-001, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.164,-176.578,70.4,0.31,6.56,36.7,40,0.127,152,3.32,2.08,0.75,14.7,2.79,1.11,0.72,2.29,4.7,0.33,0.51,5.7,26,0.92,1.05,4.14,1.91,0.46,147,0.49,0.226,0.108,341,0.06,20.9,2.08,75.6,36.7,-2063.88,54.5,78.6927,630.948
KLM0417-029-002, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.164,-176.578,73.6,0.37,7.01,35.8,43,0.138,151,3.37,2.14,0.77,14.9,2.86,1.16,0.73,2.41,4.8,0.34,0.54,5.95,24,0.95,1.11,4.44,1.98,0.48,156,0.5,0.213,0.115,350,0.07,20.8,2.12,76.4,37.8,-2063.88,54.5,78.6927,630.948
KLM0417-029-003, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.164,-176.578,74.5,0.38,6.73,36.9,44,0.147,150,3.43,2.17,0.79,15,2.89,1.17,0.76,2.46,4.9,0.34,0.54,6.05,26,1.01,1.12,4.57,2.01,0.44,149,0.52,0.228,0.115,351,0.08,21.3,2.19,77.4,37.7,-2063.88,54.5,78.6927,630.948
KLM0417-029-005, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.164,-176.578,71,0.35,6.58,36.3,46,0.138,148,3.23,2.06,0.74,14.7,2.73,1.13,0.71,2.19,4.7,0.33,0.51,5.62,26,0.94,1.03,4.15,1.89,0.45,147,0.48,0.165,0.11,344,0.07,19,2.06,75.8,36.8,-2063.88,54.5,78.6927,630.948
KLM0417-030-001, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.085,-176.519,109.4,0.38,8.17,38.2,38,0.186,171,2.79,1.7,0.75,15.6,2.54,0.9,0.6,3.32,4.7,0.27,0.54,6.42,25,1.39,1.27,8.45,1.97,0.38,222,0.43,0.357,0.169,373,0.08,16.8,1.72,78,28.9,-2063.88,54.5,78.6927,630.948
KLM0417-034-002, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.57,-176.406,75.3,0.62,14.14,26.1,5,0.154,30,7.25,4.59,1.49,17.3,6.16,3.09,1.58,4.65,10.3,0.72,1.64,12.91,4,1.24,2.42,7.12,4.26,1.03,147,1.08,0.357,0.145,241,0.09,45.3,4.6,109.2,113.8,-2063.88,54.5,78.6927,630.948
KLM0417-R052, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.5,-176.388,98,0.6,12.46,30.1,15,0.194,51,5.48,3.44,1.22,17,4.72,2.27,1.2,4.54,8,0.54,1.16,10.64,16,1.28,2.04,10.04,3.38,0.77,168,0.82,0.383,0.162,304,0.07,33.8,3.47,91.6,80.7,-2063.88,54.5,78.6927,630.948
KLM0417-R053, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.662,-176.429,36.8,0.28,4.95,35.7,192,0.083,93,3.18,2.06,0.66,12.8,2.56,1.09,0.69,1.61,5,0.32,0.49,4.82,69,0.64,0.86,2.64,1.67,0.37,114,0.45,0.119,0.05,265,0.05,19.7,2.05,61.4,38.7,-2063.88,54.5,78.6927,630.948
KLM0417-R054, GL, BLAU10,"Gale et al., this study", ICP-MS,-21.834,-176.487,58.9,0.55,10.84,36.8,7,0.113,55,5.66,3.61,1.23,17.1,4.87,2.28,1.24,3.7,7.6,0.56,1.18,10.12,14,1.17,1.87,5.39,3.39,0.8,153,0.86,0.274,0.11,393,0.07,35.7,3.66,99.8,81.2,-2063.88,54.5,78.6927,630.948
KLM0417-R057, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.133,-176.612,75,0.41,8.41,35.5,18,0.143,102,3.99,2.53,0.9,15.5,3.42,1.46,0.88,3.09,6.1,0.4,0.74,7.36,29,0.95,1.38,6.56,2.43,0.72,160,0.6,0.279,0.121,305,0.06,24.7,2.55,78.8,50.1,-2063.88,54.5,78.6927,630.948
KLM0417-R058, GL, BLAU10,"Gale et al., this study", ICP-MS,-22.119,-176.608,54.3,0.3,5.97,40.9,15,0.099,100,3.37,2.11,0.76,15.1,2.8,1.2,0.74,2.01,5.1,0.33,0.54,5.63,37,0.8,1.03,3.48,1.94,0.45,144,0.51,0.158,0.069,305,0.04,20.9,2.12,76.2,41.6,-2063.88,54.5,78.6927,630.948
KLM0417-R059 , GL, BLAU10,"Gale et al., this study", ICP-MS,-22.104,-176.604,58.4,0.36,6.97,39.4,10,0.111,89,3.87,2.43,0.85,15.6,3.25,1.42,0.85,2.36,5.6,0.38,0.66,6.56,30,0.93,1.21,3.97,2.23,0.54,145,0.58,0.186,0.08,312,0.06,24,2.45,81.7,49.8,-2063.88,54.5,78.6927,630.948
